,name,f0,f1,type
228,A228,-1.0,-1.0,A
229,A229,-0.9907876452108441,0.24357025853915126,A
230,A230,-1.0,-1.0,A
231,A231,-1.0,-1.0,A
232,A232,-1.0,-1.0,A
233,A233,-1.0,-1.0,A
234,A234,-0.7061931675298789,-1.0,A
235,A235,-1.0,-1.0,A
236,A236,-1.0,-0.8757443782527623,A
237,A237,-1.0,-1.0,A
238,A238,-1.0,-1.0,A
239,A239,-0.5960761991314538,-1.0,A
240,A240,-0.8619232716796803,-1.0,A
241,A241,-0.37274085086214837,-1.0,A
242,A242,-0.9174402455769953,-0.9884151519550191,A
243,A243,-0.814861462150748,-1.0,A
244,A244,-1.0,-0.9646399709062464,A
245,A245,-1.0,-0.9901219959682686,A
246,A246,0.14292830616934982,-0.22151469443782323,A
247,A247,0.14194794179772763,-1.0,A
248,A248,-0.1806026249206515,-0.7780267254964559,A
249,A249,0.10790965791335028,-1.0,A
250,A250,0.6200801261106847,-1.0,A
251,A251,0.6550424115616256,-1.0,A
252,A252,0.32225021005916155,-0.3673312088550811,A
253,A253,0.38764436176384365,-1.0,A
254,A254,0.8392297423872017,-1.0,A
255,A255,0.16156671376321552,-1.0,A
256,A256,0.4125921704629405,-1.0,A
257,A257,-0.42894496919724,-1.0,A
258,A258,-0.06833199183295391,-1.0,A
259,A259,-0.8239411658082493,-1.0,A
260,A260,-0.6846311065123069,-1.0,A
261,A261,-1.0,-1.0,A
262,A262,-1.0,-0.9836460752173332,A
263,A263,-1.0,-1.0,A
264,A264,-1.0,-1.0,A
265,A265,-1.0,-1.0,A
266,A266,-1.0,-1.0,A
267,A267,-1.0,-1.0,A
268,A268,-1.0,-1.0,A
269,A269,-1.0,-0.9466471336983763,A
270,A270,-1.0,-1.0,A
271,A271,-1.0,-1.0,A
272,A272,-0.8119687153785194,-1.0,A
273,A273,-1.0,-0.9180070436148637,A
274,A274,-1.0,-1.0,A
275,A275,-0.951757341615884,-1.0,A
276,A276,-1.0,-1.0,A
277,A277,-1.0,-1.0,A
278,A278,-1.0,-1.0,A
279,A279,-1.0,-1.0,A
280,A280,-0.9942267557116881,-1.0,A
281,A281,-1.0,-0.2653362903671448,A
282,A282,-1.0,-1.0,A
283,A283,-0.9669270191872639,-1.0,A
284,A284,-1.0,-1.0,A
285,A285,-0.943341706963563,-1.0,A
286,A286,-1.0,-1.0,A
287,A287,-1.0,-0.9792095391435651,A
288,A288,-1.0,-1.0,A
289,A289,-0.9901471492092833,-1.0,A
290,A290,-0.8900703183480418,-1.0,A
291,A291,-0.6949882260791819,-1.0,A
292,A292,-1.0,-1.0,A
293,A293,-1.0,-1.0,A
