,name,f0,f1,type
0,A0,-0.031573105531708334,-0.9800320775173167,A
1,A1,0.38192712669970974,-0.9294996792240673,A
2,A2,-0.3345174860274398,-1.0,A
3,A3,0.044310335260809186,-1.0,A
4,A4,0.2562985630861947,-0.7324483009394535,A
5,A5,-0.21876765882539795,-1.0,A
6,A6,-0.0029786372670481676,-0.4824969247400832,A
7,A7,-0.061120499068861855,-0.7170549291390289,A
8,A8,-0.5379724767379983,-0.9740738582434172,A
9,A9,-0.19888121178034013,-1.0,A
10,A10,-0.11116968494607993,-1.0,A
11,A11,-0.530445860994667,-1.0,A
12,A12,-0.4494968322000361,-1.0,A
13,A13,-0.185129362892834,-1.0,A
14,A14,-0.6482327789263926,-1.0,A
15,A15,-0.4143328457536585,-1.0,A
16,A16,0.2846247237688617,-1.0,A
17,A17,-0.47332870081157896,-1.0,A
18,A18,-0.3428155060334733,-1.0,A
19,A19,-0.3222163475053288,-1.0,A
20,A20,-0.4164518340585427,-1.0,A
21,A21,-0.513327018337343,-0.9392919192939752,A
22,A22,-0.19766526103854165,-0.9358350422915948,A
23,A23,-0.10725241805641461,-1.0,A
24,A24,-0.6586474743488814,-0.6596670693711459,A
25,A25,-0.2837197531413195,-0.540853892571386,A
26,A26,-0.3656992023486605,-0.2705580457416854,A
27,A27,-0.49250550797348525,-0.934087399703672,A
28,A28,-0.39844129908739,-0.41094251313760344,A
29,A29,-0.2922152351771692,0.357726967656784,A
30,A30,-0.2589409170729051,-0.2960762898523759,A
31,A31,0.17125458107834035,-0.20450450354375305,A
32,A32,-0.31497416800209277,-0.8869611534065794,A
33,A33,0.18311172942763765,-1.0,A
34,A34,-1.0,-1.0,A
35,A35,-0.2212816129347096,-0.6676651696989203,A
36,A36,-0.8879877365346411,-1.0,A
37,A37,-0.42386910003404243,-1.0,A
38,A38,-0.7692880512190228,-1.0,A
39,A39,-0.8433944280965455,-1.0,A
40,A40,-0.9870268415526702,-1.0,A
41,A41,-0.7151048349966923,-1.0,A
42,A42,-0.5768925245471952,-1.0,A
43,A43,-0.7977622716528534,-1.0,A
44,A44,-0.7691043909664035,-1.0,A
45,A45,-0.645960413373075,-1.0,A
46,A46,-0.20753392484946143,-1.0,A
47,A47,-0.30752286738967205,-0.2784946686318709,A
48,A48,-0.4415720029519734,-0.14336042513158964,A
49,A49,0.23069268904508267,-0.3012255560025102,A
50,A50,-0.007471492050798667,-0.8041294688613764,A
51,A51,-0.9001184027786572,-1.0,A
52,A52,-0.4355197787840336,-1.0,A
53,A53,-0.5927867310458317,-1.0,A
54,A54,-0.5270999228970327,-0.7010267061348493,A
55,A55,-0.47518593434573597,-0.7390903366355952,A
56,A56,-0.18179430842279964,-0.5543874574981242,A
57,A57,-0.7154381023137515,-0.8632863896344338,A
58,A58,-0.893420595097076,-1.0,A
59,A59,-0.8363102775267306,-1.0,A
60,A60,-0.7402043541737258,-1.0,A
